證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3,779,950","393,960,616","103.80","104.50","103.50","104.50","+0.25","2,051"
"0051","元大中型100","42,125","1,703,254","40.20","40.70","40.13","40.70","+0.45","36"
"0052","富邦科技","205,331","18,403,890","89.10","90.00","88.90","90.00","+0.60","117"
"0053","元大電子","18,000","894,920","49.90","49.90","49.42","49.90","-0.06","14"
"0054","元大台商50","15,000","389,030","25.93","26.01","25.93","26.01","+0.01","3"
"0055","元大MSCI金融","15,141","276,281","18.25","18.25","18.23","18.25"," 0.00","15"
"0056","元大高股息","9,267,599","282,918,989","30.33","30.65","30.30","30.63","+0.31","4,301"
"0057","富邦摩台","37,010","2,535,537","68.35","68.75","68.25","68.75","+0.10","20"
"0061","元大寶滬深","397,598","8,327,536","20.84","21.00","20.79","21.00","+0.09","139"
"006203","元大MSCI台灣","110","5,366","0.00","0.00","0.00","0.00"," 0.00","2"
"006204","永豐臺灣加權","2,173","140,292","64.40","64.70","64.40","64.70","+0.35","5"
"006205","富邦上証","2,814,067","96,023,269","33.95","34.27","33.95","34.15"," 0.00","214"
"006206","元大上證50","324,218","11,245,131","34.66","34.86","34.54","34.80","+0.08","54"
"006207","FH滬深","1,435,321","39,205,637","27.40","27.45","27.18","27.45","+0.17","91"
"006208","富邦台50","740,128","44,133,568","59.55","59.80","59.20","59.70","-0.05","285"
"00625K","富邦上証+R","50,000","405,500","8.11","8.11","8.11","8.11","-0.05","2"
"00631L","元大台灣50正2","2,605,153","169,444,186","64.40","65.55","64.25","65.55","+0.45","837"
"00632R","元大台灣50反1","66,171,600","556,047,430","8.45","8.46","8.37","8.37","-0.04","4,666"
"00633L","富邦上証正2","8,381,300","459,588,740","54.60","55.25","54.15","55.25","+0.55","1,757"
"00634R","富邦上証反1","1,024,000","4,898,960","4.80","4.81","4.77","4.78","-0.02","78"
"00635U","元大S&P黃金","1,689,729","45,560,798","27.03","27.03","26.82","27.01","+0.32","636"
"00636","國泰中國A50","878,248","20,558,328","23.32","23.55","23.30","23.55","+0.15","155"
"00636K","國泰中國A50+U","100","793","7.93","7.93","7.93","7.93"," 0.00","1"
"00637L","元大滬深300正2","67,404,400","1,437,496,075","21.22","21.47","21.03","21.46","+0.20","6,875"
"00638R","元大滬深300反1","768,000","7,438,630","9.69","9.74","9.64","9.65","-0.04","98"
"00639","富邦深100","1,267,383","17,916,104","14.14","14.23","14.03","14.21","+0.07","124"
"00640L","富邦日本正2","609,000","11,993,620","19.68","19.76","19.63","19.69","-0.02","118"
"00641R","富邦日本反1","565,000","7,565,760","13.40","13.41","13.37","13.39","-0.02","72"
"00642U","元大S&P石油","5,093,755","43,128,325","8.50","8.50","8.43","8.47","-0.04","996"
"00643","群益深証中小","945,712","16,168,814","17.08","17.21","16.98","17.13","+0.06","309"
"00643K","群益深証中小+R","1,000","4,070","4.07","4.07","4.07","4.07","-0.03","1"
"00645","富邦日本","156,658","3,297,930","21.02","21.06","21.02","21.05"," 0.00","21"
"00646","元大S&P500","497,270","15,076,552","30.31","30.34","30.30","30.32","+0.02","157"
