資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200807,0050,1,62076,14862930,1.30
20200807,0050,2,76750,143466014,12.55
20200807,0050,3,7250,55840979,4.88
20200807,0050,4,1992,25505365,2.23
20200807,0050,5,1107,20183003,1.76
20200807,0050,6,891,22513388,1.96
20200807,0050,7,394,13959384,1.22
20200807,0050,8,225,10434412,0.91
20200807,0050,9,364,26074978,2.28
20200807,0050,10,138,19524750,1.70
20200807,0050,11,58,16612424,1.45
20200807,0050,12,20,9889776,0.86
20200807,0050,13,6,4166000,0.36
20200807,0050,14,12,11104000,0.97
20200807,0050,15,55,748862597,65.51
20200807,0050,16,0,0,0.00
20200807,0050,17,151338,1143000000,100.00
20200807,0051,1,508,80834,0.76
20200807,0051,2,1801,3254728,30.99
20200807,0051,3,136,1099859,10.47
20200807,0051,4,32,393645,3.74
20200807,0051,5,29,542000,5.16
20200807,0051,6,13,334000,3.18
20200807,0051,7,11,366000,3.48
20200807,0051,8,5,234934,2.23
20200807,0051,9,7,466000,4.43
20200807,0051,10,5,686000,6.53
20200807,0051,11,2,667000,6.35
20200807,0051,12,2,876000,8.34
20200807,0051,13,2,1499000,14.27
20200807,0051,14,0,0,0.00
20200807,0051,15,0,0,0.00
20200807,0051,16,0,0,0.00
20200807,0051,17,2553,10500000,100.00
20200807,0052,1,2521,545045,2.79
20200807,0052,2,1933,3197388,16.39
20200807,0052,3,112,895521,4.59
20200807,0052,4,19,256116,1.31
20200807,0052,5,10,197000,1.01
20200807,0052,6,6,144655,0.74
20200807,0052,7,1,37000,0.18
20200807,0052,8,0,0,0.00
20200807,0052,9,5,350000,1.79
20200807,0052,10,5,736275,3.77
20200807,0052,11,0,0,0.00
20200807,0052,12,1,412000,2.11
20200807,0052,13,0,0,0.00
20200807,0052,14,0,0,0.00
20200807,0052,15,2,12729000,65.27
20200807,0052,16,0,0,0.00
20200807,0052,17,4615,19500000,100.00
20200807,0053,1,107,11913,0.21
20200807,0053,2,773,1551087,28.26
20200807,0053,3,92,802000,14.61
20200807,0053,4,13,169000,3.07
20200807,0053,5,23,446000,8.12
20200807,0053,6,4,103000,1.87
20200807,0053,7,2,74000,1.34
20200807,0053,8,2,100000,1.82
20200807,0053,9,3,207000,3.77
20200807,0053,10,1,114000,2.07
20200807,0053,11,2,577000,10.51
20200807,0053,12,0,0,0.00
20200807,0053,13,0,0,0.00
20200807,0053,14,0,0,0.00
20200807,0053,15,1,1333000,24.28
20200807,0053,16,0,0,0.00
20200807,0053,17,1023,5488000,100.00
20200807,0054,1,84,6635,0.07
20200807,0054,2,811,1677365,18.38
20200807,0054,3,122,1056000,11.57
20200807,0054,4,40,540000,5.91
20200807,0054,5,33,642000,7.03
20200807,0054,6,6,159000,1.74
20200807,0054,7,9,343000,3.75
20200807,0054,8,5,237000,2.59
20200807,0054,9,7,559000,6.12
20200807,0054,10,3,405000,4.43
20200807,0054,11,2,798000,8.74
20200807,0054,12,1,444000,4.86
20200807,0054,13,0,0,0.00
20200807,0054,14,0,0,0.00
20200807,0054,15,1,2257000,24.73
20200807,0054,16,0,0,0.00
20200807,0054,17,1124,9124000,100.00
20200807,0055,1,230,43992,0.12
20200807,0055,2,2471,5329890,14.74
20200807,0055,3,452,3822756,10.57
20200807,0055,4,113,1496328,4.13
20200807,0055,5,111,2095348,5.79
20200807,0055,6,78,2075181,5.73
20200807,0055,7,43,1538980,4.25
20200807,0055,8,26,1247000,3.44
20200807,0055,9,37,2707000,7.48
20200807,0055,10,18,2331525,6.44
20200807,0055,11,8,2418000,6.68
20200807,0055,12,3,1428000,3.94
20200807,0055,13,0,0,0.00
20200807,0055,14,0,0,0.00
20200807,0055,15,3,9620000,26.60
20200807,0055,16,0,0,0.00
20200807,0055,17,3593,36154000,100.00
20200807,0056,1,38940,13232154,0.70
20200807,0056,2,172872,370505790,19.71
20200807,0056,3,29006,230565297,12.26
20200807,0056,4,9047,116474077,6.19
20200807,0056,5,5558,103175389,5.48
20200807,0056,6,4518,115939750,6.16
20200807,0056,7,2079,74793693,3.97
20200807,0056,8,1301,60708109,3.22
20200807,0056,9,1935,138873908,7.38
20200807,0056,10,618,84678817,4.50
20200807,0056,11,182,50994356,2.71
20200807,0056,12,40,20158000,1.07
20200807,0056,13,16,11425000,0.60
20200807,0056,14,7,6243000,0.33
20200807,0056,15,36,481766660,25.63
20200807,0056,16,0,0,0.00
20200807,0056,17,266155,1879534000,100.00
20200807,0057,1,35,3479,0.06
20200807,0057,2,62,105000,1.89
20200807,0057,3,5,41000,0.74
20200807,0057,4,2,27000,0.48
20200807,0057,5,2,34000,0.61
20200807,0057,6,4,106000,1.91
20200807,0057,7,0,0,0.00
20200807,0057,8,0,0,0.00
20200807,0057,9,1,91000,1.64
20200807,0057,10,2,306000,5.53
20200807,0057,11,3,776521,14.04
20200807,0057,12,0,0,0.00
20200807,0057,13,0,0,0.00
20200807,0057,14,0,0,0.00
20200807,0057,15,2,4037000,73.04
20200807,0057,16,0,0,0.00
20200807,0057,17,118,5527000,100.00
20200807,0061,1,554,161075,0.08
20200807,0061,2,6707,15769410,8.38
20200807,0061,3,1628,13893250,7.38
20200807,0061,4,533,7059733,3.75
20200807,0061,5,454,8654205,4.60
20200807,0061,6,385,10189519,5.41
20200807,0061,7,230,8498154,4.51
20200807,0061,8,154,7373000,3.91
20200807,0061,9,298,22390000,11.90
20200807,0061,10,123,17957822,9.54
20200807,0061,11,60,16257939,8.64
20200807,0061,12,26,13047893,6.93
20200807,0061,13,12,8419000,4.47
20200807,0061,14,4,3531000,1.87
20200807,0061,15,11,34914000,18.55
20200807,0061,16,0,0,0.00
20200807,0061,17,11179,188116000,100.00
20200807,006201,1,85,16573,0.09
20200807,006201,2,937,2061597,12.16
20200807,006201,3,167,1439553,8.49
20200807,006201,4,36,474285,2.79
20200807,006201,5,34,640000,3.77
20200807,006201,6,24,653000,3.85
20200807,006201,7,8,276000,1.62
20200807,006201,8,5,230000,1.35
20200807,006201,9,6,348000,2.05
20200807,006201,10,5,671000,3.95
20200807,006201,11,4,1082992,6.39
20200807,006201,12,1,481000,2.83
20200807,006201,13,1,738000,4.35
20200807,006201,14,0,0,0.00
20200807,006201,15,2,7834000,46.22
20200807,006201,16,0,0,0.00
20200807,006201,17,1315,16946000,100.00
20200807,006203,1,80,8758,0.08
20200807,006203,2,207,318242,2.96
20200807,006203,3,11,95000,0.88
20200807,006203,4,0,0,0.00
20200807,006203,5,4,76000,0.70
20200807,006203,6,2,43000,0.40
20200807,006203,7,2,68000,0.63
20200807,006203,8,0,0,0.00
20200807,006203,9,0,0,0.00
20200807,006203,10,1,195000,1.81
20200807,006203,11,2,511000,4.76
20200807,006203,12,2,903000,8.42
20200807,006203,13,0,0,0.00
20200807,006203,14,0,0,0.00
20200807,006203,15,2,8500000,79.30
20200807,006203,16,0,0,0.00
20200807,006203,17,313,10718000,100.00
20200807,006204,1,233,20485,1.36
20200807,006204,2,140,236976,15.79
20200807,006204,3,12,94621,6.30
20200807,006204,4,1,12000,0.80
20200807,006204,5,1,20000,1.33
20200807,006204,6,2,52000,3.46
20200807,006204,7,0,0,0.00
20200807,006204,8,0,0,0.00
20200807,006204,9,3,235000,15.66
20200807,006204,10,1,140000,9.33
20200807,006204,11,0,0,0.00
20200807,006204,12,0,0,0.00
20200807,006204,13,1,688918,45.92
20200807,006204,14,0,0,0.00
20200807,006204,15,0,0,0.00
20200807,006204,16,0,0,0.00
20200807,006204,17,394,1500000,100.00
20200807,006205,1,5864,2277032,1.08
20200807,006205,2,7774,17651391,8.40
20200807,006205,3,1529,11870925,5.65
20200807,006205,4,507,6557699,3.12
20200807,006205,5,369,6880709,3.27
20200807,006205,6,313,8090059,3.85
20200807,006205,7,131,4716903,2.24
20200807,006205,8,105,4922591,2.34
20200807,006205,9,201,14394471,6.85
20200807,006205,10,74,10425996,4.96
20200807,006205,11,31,8811259,4.19
20200807,006205,12,14,6844000,3.26
20200807,006205,13,7,5234000,2.49
20200807,006205,14,6,5405717,2.57
20200807,006205,15,15,95813248,45.64
20200807,006205,16,0,0,0.00
